16,16,16,24
32,44,32,52
64,108,64,116
128,236,128,244
256,492,256,500
512,1004,512,1012
1024,2028,1024,2036
2048,4076,2048,4084
4096,8172,4096,8180
8192,16364,8192,16372
16384,32748,16384,32752
32768,65516,32768,65520
65536,131052,65536,131056
